,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積,最寄り駅_抽出,歩行時間
546,XEBEC大手町,賃貸マンション,東京都千代田区神田錦町１,東京メトロ半蔵門線/大手町駅 歩5分,7,13階建,2,119000,10000,0,119000,ワンルーム,25.58,東京メトロ半蔵門線,歩5分
547,XEBEC大手町,賃貸マンション,東京都千代田区神田錦町１,東京メトロ半蔵門線/大手町駅 歩5分,7,13階建,2,119000,20000,0,119000,ワンルーム,25.58,東京メトロ半蔵門線,歩5分
548,XEBEC大手町,賃貸マンション,東京都千代田区神田錦町１,東京メトロ半蔵門線/大手町駅 歩5分,7,13階建,8,200000,8000,200000,200000,1LDK,41.1,東京メトロ半蔵門線,歩5分
555,ガラ・ステージ神田小川町,賃貸マンション,東京都千代田区神田司町２,東京メトロ丸ノ内線/淡路町駅 歩5分,19,12階建,9,120000,10000,120000,240000,1K,31.84,東京メトロ丸ノ内線,歩5分
561,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分,18,12階建,2,88000,9000,88000,176000,1K,22.78,ＪＲ山手線,歩5分
563,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分,18,12階建,8,89000,9000,89000,178000,1K,22.72,ＪＲ山手線,歩5分
565,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分,18,12階建,3,91000,9000,91000,136500,1K,23.0,ＪＲ山手線,歩5分
567,ＪＲ山手線 秋葉原駅 12階建 築18年,賃貸マンション,東京都千代田区岩本町３,ＪＲ山手線/秋葉原駅 歩5分,18,12階建,10,90000,10000,0,90000,1K,23.0,ＪＲ山手線,歩5分
582,KDXレジデンス秋葉原II,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/秋葉原駅 歩5分,19,14階建,2,94000,8000,0,0,1K,23.9,ＪＲ山手線,歩5分
583,KDXレジデンス秋葉原II,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/秋葉原駅 歩5分,19,14階建,11,94000,8000,0,0,1K,23.6,ＪＲ山手線,歩5分
584,KDXレジデンス秋葉原II,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/秋葉原駅 歩5分,19,14階建,3,98000,8000,0,0,1K,24.68,ＪＲ山手線,歩5分
591,グランツルクサス神田,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩3分,5,9階建,4,114000,15000,0,0,1DK,25.11,ＪＲ山手線,歩3分
592,グランツルクサス神田,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩3分,5,9階建,4,124000,15000,0,0,1DK,25.11,ＪＲ山手線,歩3分
593,グランツルクサス神田,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩3分,5,9階建,7,173000,15000,0,0,1LDK,41.39,ＪＲ山手線,歩3分
594,グランツルクサス神田,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩3分,5,9階建,7,177000,15000,0,0,1LDK,41.39,ＪＲ山手線,歩3分
595,グランツルクサス神田,賃貸マンション,東京都千代田区神田須田町１,ＪＲ山手線/神田駅 歩3分,5,9階建,7,187000,15000,0,0,1LDK,41.39,ＪＲ山手線,歩3分
606,ステューディオ神保町II,賃貸マンション,東京都千代田区神田神保町１,都営三田線/神保町駅 歩2分,17,10階建,8,115000,10000,115000,115000,1K,26.17,都営三田線,歩2分
607,ステューディオ神保町II,賃貸マンション,東京都千代田区神田神保町１,都営三田線/神保町駅 歩2分,17,10階建,6,118000,10000,118000,59000,1K,26.17,都営三田線,歩2分
615,パークハビオ平河町,賃貸マンション,東京都千代田区平河町１,東京メトロ有楽町線/麹町駅 歩2分,10,15階建,14,147000,10000,147000,147000,ワンルーム,25.44,東京メトロ有楽町線,歩2分
624,ステージファースト神田II,賃貸マンション,東京都千代田区神田東松下町,都営新宿線/岩本町駅 歩2分,21,8階建,6,89000,3000,89000,89000,1K,23.94,都営新宿線,歩2分
625,ステージファースト神田II,賃貸マンション,東京都千代田区神田東松下町,都営新宿線/岩本町駅 歩2分,21,8階建,7,93000,0,93000,93000,1K,22.66,都営新宿線,歩2分
626,ステージファースト神田II,賃貸マンション,東京都千代田区神田東松下町,都営新宿線/岩本町駅 歩2分,21,8階建,7,93000,5000,93000,93000,1K,22.66,都営新宿線,歩2分
639,ガラ・グランディ大手町,賃貸マンション,東京都千代田区神田錦町１,都営三田線/大手町駅 歩6分,21,地下1地上13階建,9,93000,6000,0,93000,1K,23.79,都営三田線,歩6分
640,ガラ・グランディ大手町,賃貸マンション,東京都千代田区神田錦町１,都営三田線/大手町駅 歩6分,21,地下1地上13階建,8,99000,7000,99000,198000,1K,23.24,都営三田線,歩6分
643,ガラ・グランディ大手町,賃貸マンション,東京都千代田区神田錦町１,都営三田線/大手町駅 歩6分,21,地下1地上13階建,8,99000,9000,99000,198000,1K,23.24,都営三田線,歩6分
654,ガラ・ステーション岩本町North,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩2分,18,12階建,6,85000,10000,85000,170000,1K,22.8,都営新宿線,歩2分
669,ＪＲ山手線 神田駅 13階建 築15年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩8分,15,13階建,10,100500,20000,0,0,1K,27.99,ＪＲ山手線,歩8分
670,ＪＲ山手線 神田駅 13階建 築15年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩8分,15,13階建,10,105000,20000,0,0,1K,27.99,ＪＲ山手線,歩8分
672,ＪＲ山手線 神田駅 13階建 築15年,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/神田駅 歩8分,15,13階建,3,110000,20000,0,110000,1K,34.41,ＪＲ山手線,歩8分
690,ＪＲ中央線 市ケ谷駅 15階建 築12年,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩10分,12,15階建,8,101000,15000,101000,101000,ワンルーム,27.41,ＪＲ中央線,歩10分
691,ＪＲ中央線 市ケ谷駅 15階建 築12年,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩10分,12,15階建,4,156000,8000,156000,312000,1LDK,40.38,ＪＲ中央線,歩10分
692,ＪＲ中央線 市ケ谷駅 15階建 築12年,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩10分,12,15階建,4,156000,15000,156000,312000,1LDK,40.38,ＪＲ中央線,歩10分
693,ＪＲ中央線 市ケ谷駅 15階建 築12年,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩10分,12,15階建,13,167000,15000,167000,334000,1LDK,40.38,ＪＲ中央線,歩10分
702,ＪＲ総武線快速 馬喰町駅 12階建 築5年,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩5分,5,12階建,5,118000,10500,0,118000,1K,25.07,ＪＲ総武線快速,歩5分
703,ＪＲ総武線快速 馬喰町駅 12階建 築5年,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩5分,5,12階建,2,122500,10000,0,122500,1DK,30.48,ＪＲ総武線快速,歩5分
704,ＪＲ総武線快速 馬喰町駅 12階建 築5年,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩5分,5,12階建,6,170000,5000,170000,170000,1LDK,40.62,ＪＲ総武線快速,歩5分
705,ＪＲ総武線快速 馬喰町駅 12階建 築5年,賃貸マンション,東京都千代田区東神田２,ＪＲ総武線快速/馬喰町駅 歩5分,5,12階建,7,176000,10500,0,176000,1LDK,42.36,ＪＲ総武線快速,歩5分
717,ガラ・ステーション岩本町south,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩5分,18,12階建,5,89000,9000,89000,178000,1K,22.68,都営新宿線,歩5分
718,ガラ・ステーション岩本町south,賃貸マンション,東京都千代田区岩本町３,都営新宿線/岩本町駅 歩5分,18,12階建,10,90000,10000,0,90000,1K,22.68,都営新宿線,歩5分
723,アーバンクリスタル九段下,賃貸マンション,東京都千代田区神田神保町３,東京メトロ東西線/九段下駅 歩2分,26,12階建,10,134000,10000,134000,134000,ワンルーム,35.69,東京メトロ東西線,歩2分
724,アーバンクリスタル九段下,賃貸マンション,東京都千代田区神田神保町３,東京メトロ東西線/九段下駅 歩2分,26,12階建,4,143000,10500,0,143000,ワンルーム,35.69,東京メトロ東西線,歩2分
729,東京メトロ千代田線 大手町駅 13階建 築21年,賃貸マンション,東京都千代田区神田錦町１,東京メトロ千代田線/大手町駅 歩6分,21,13階建,9,92000,6000,92000,92000,1K,23.79,東京メトロ千代田線,歩6分
747,フリージアテラス,賃貸マンション,東京都千代田区九段南３,東京メトロ南北線/市ケ谷駅 歩6分,12,15階建,8,101000,15000,101000,101000,1K,27.41,東京メトロ南北線,歩6分
756,ガーラ神田岩本町,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩7分,18,14階建,5,98000,9000,98000,196000,1K,26.47,ＪＲ山手線,歩7分
758,ガーラ神田岩本町,賃貸マンション,東京都千代田区岩本町２,ＪＲ山手線/秋葉原駅 歩7分,18,14階建,2,115000,8000,115000,172500,1K,31.77,ＪＲ山手線,歩7分
765,隼町戸建,賃貸一戸建て,東京都千代田区隼町,東京メトロ有楽町線/永田町駅 歩5分,23,地下1地上2階建,1,1050000,50000,2100000,1050000,5LDK,192.26,東京メトロ有楽町線,歩5分
766,隼町戸建,賃貸一戸建て,東京都千代田区隼町,東京メトロ有楽町線/永田町駅 歩5分,23,地下1地上2階建,1,1200000,0,2400000,1200000,5SLDK,192.94,東京メトロ有楽町線,歩5分
767,隼町戸建,賃貸一戸建て,東京都千代田区隼町,東京メトロ有楽町線/永田町駅 歩5分,23,地下1地上2階建,2,1200000,0,2400000,1200000,5LDK,192.26,東京メトロ有楽町線,歩5分
776,東京メトロ日比谷線 秋葉原駅 12階建 築8年,賃貸マンション,東京都千代田区東神田２,東京メトロ日比谷線/秋葉原駅 歩8分,8,12階建,11,140000,6000,140000,0,ワンルーム,30.34,東京メトロ日比谷線,歩8分
810,ＪＲ山手線 神田駅 14階建 築3年,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩12分,3,14階建,10,109000,14000,109000,109000,1K,26.06,ＪＲ山手線,歩12分
812,ＪＲ山手線 神田駅 14階建 築3年,賃貸マンション,東京都千代田区岩本町１,ＪＲ山手線/神田駅 歩12分,3,14階建,7,137000,13000,137000,137000,1DK,32.11,ＪＲ山手線,歩12分
822,ＪＲ総武線 御茶ノ水駅 12階建 築44年,賃貸マンション,東京都千代田区神田小川町３,ＪＲ総武線/御茶ノ水駅 歩12分,44,12階建,3,62000,5000,62000,62000,1K,14.84,ＪＲ総武線,歩12分
823,ＪＲ総武線 御茶ノ水駅 12階建 築44年,賃貸マンション,東京都千代田区神田小川町３,ＪＲ総武線/御茶ノ水駅 歩12分,44,12階建,4,63000,6000,63000,63000,1K,14.84,ＪＲ総武線,歩12分
828,リバーレ九段南,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩9分,25,地下1地上8階建,4,122000,5000,122000,0,1DK,29.05,ＪＲ中央線,歩9分
829,リバーレ九段南,賃貸マンション,東京都千代田区九段南３,ＪＲ中央線/市ケ谷駅 歩9分,25,地下1地上8階建,3,148000,5000,148000,148000,1LDK,35.01,ＪＲ中央線,歩9分
855,ＪＲ中央線 飯田橋駅 38階建 築15年,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩3分,15,38階建,36,590000,0,590000,590000,3SLDK,83.84,ＪＲ中央線,歩3分
858,ＪＲ中央線 飯田橋駅 地下2地上40階建 築15年,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩1分,15,地下2地上40階建,23,398000,22000,796000,398000,2LDK,65.6,ＪＲ中央線,歩1分
860,ＪＲ中央線 飯田橋駅 地下2地上40階建 築15年,賃貸マンション,東京都千代田区富士見２,ＪＲ中央線/飯田橋駅 歩1分,15,地下2地上40階建,27,630000,20000,1260000,630000,1LDK,85.08,ＪＲ中央線,歩1分
868,都営新宿線 岩本町駅 15階建 築17年,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,17,15階建,8,119000,14000,0,119000,1DK,34.99,都営新宿線,歩4分
873,ＪＲ山手線 秋葉原駅 12階建 築38年,賃貸マンション,東京都千代田区神田練塀町,ＪＲ山手線/秋葉原駅 歩6分,38,12階建,6,77000,0,0,0,ワンルーム,17.88,ＪＲ山手線,歩6分
876,プラウドタワー千代田富士見,賃貸マンション,東京都千代田区富士見２,東京メトロ有楽町線/飯田橋駅 歩3分,15,地下2地上38階建,10,260000,5000,520000,260000,1LDK,51.42,東京メトロ有楽町線,歩3分
877,プラウドタワー千代田富士見,賃貸マンション,東京都千代田区富士見２,東京メトロ有楽町線/飯田橋駅 歩3分,15,地下2地上38階建,7,398000,22000,796000,398000,2LDK,65.6,東京メトロ有楽町線,歩3分
879,プラウドタワー千代田富士見,賃貸マンション,東京都千代田区富士見２,東京メトロ有楽町線/飯田橋駅 歩3分,15,地下2地上38階建,36,590000,0,590000,590000,3LDK,83.84,東京メトロ有楽町線,歩3分
894,パークリュクス神田,賃貸マンション,東京都千代田区神田多町２,東京メトロ銀座線/神田駅 歩3分,3,12階建,10,379000,20000,0,379000,3LDK,61.89,東京メトロ銀座線,歩3分
895,パークリュクス神田,賃貸マンション,東京都千代田区神田多町２,東京メトロ銀座線/神田駅 歩3分,3,12階建,10,389000,20000,0,389000,3LDK,61.89,東京メトロ銀座線,歩3分
896,パークリュクス神田,賃貸マンション,東京都千代田区神田多町２,東京メトロ銀座線/神田駅 歩3分,3,12階建,12,409000,20000,0,409000,3LDK,61.89,東京メトロ銀座線,歩3分
912,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,1,15階建,4,198000,0,198000,198000,1DK,32.53,東京メトロ有楽町線,歩4分
913,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,1,15階建,9,200000,20000,200000,0,1DK,32.53,東京メトロ有楽町線,歩4分
914,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,1,15階建,7,225000,0,225000,225000,1DK,32.53,東京メトロ有楽町線,歩4分
915,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,1,15階建,3,250000,10000,250000,250000,1LDK,41.9,東京メトロ有楽町線,歩4分
918,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,1,15階建,5,285000,0,285000,285000,1LDK,41.9,東京メトロ有楽町線,歩4分
919,ザ・パークハウス麹町レジデンス,賃貸マンション,東京都千代田区麹町３,東京メトロ有楽町線/麹町駅 歩4分,1,15階建,8,305000,20000,610000,305000,1LDK,51.75,東京メトロ有楽町線,歩4分
