,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
4080,ＧＲＥＥＮ　ＰＡＲＫ千代田淡路町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩3分,築12年,11階建,2階,18.3万円,10000円,36.6万円,18.3万円,1LDK,40.01m2
4083,シュトラーレ四番町,賃貸マンション,東京都千代田区四番町,ＪＲ中央線/市ケ谷駅 歩4分,築4年,地下1地上4階建,B1-1階,22.8万円,4400円,-,22.8万円,2DK,59.12m2
4086,プレシス東神田,賃貸マンション,東京都千代田区東神田１,都営新宿線/岩本町駅 歩5分,築12年,13階建,5階,14.5万円,13000円,14.5万円,14.5万円,1LDK,39.79m2
4092,ダイナシティ神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩3分,築16年,14階建,3階,13.6万円,3000円,27.2万円,13.6万円,1LDK,32.3m2
4093,ダイナシティ神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩3分,築16年,14階建,11階,13.3万円,10000円,26.6万円,13.3万円,1LDK,29.71m2
4107,東京メトロ有楽町線 市ケ谷駅 地下1地上18階建 築7年,賃貸マンション,東京都千代田区三番町,東京メトロ有楽町線/市ケ谷駅 歩4分,築7年,地下1地上18階建,8階,29.8万円,20000円,29.8万円,59.6万円,1LDK,57.32m2
4110,ＪＲ中央線 市ケ谷駅 地下1地上4階建 築4年,賃貸マンション,東京都千代田区四番町,ＪＲ中央線/市ケ谷駅 歩4分,築4年,地下1地上4階建,B1-1階,22.8万円,4400円,-,22.8万円,1LDK,59.12m2
4137,外神田フジハイツ,賃貸マンション,東京都千代田区外神田６,東京メトロ銀座線/末広町駅 歩3分,築43年,地下1地上7階建,2階,17.5万円,-,17.5万円,17.5万円,2LDK,52.81m2
4140,ＪＲ山手線 神田駅 14階建 築7年,賃貸マンション,東京都千代田区神田西福田町,ＪＲ山手線/神田駅 歩5分,築7年,14階建,12階,18万円,10000円,18万円,-,1LDK,40.13m2
4141,ＪＲ山手線 神田駅 14階建 築7年,賃貸マンション,東京都千代田区神田西福田町,ＪＲ山手線/神田駅 歩5分,築7年,14階建,11階,18.2万円,10000円,18.2万円,-,1LDK,37.64m2
4146,東京メトロ日比谷線 秋葉原駅 12階建 築11年,賃貸マンション,東京都千代田区神田和泉町,東京メトロ日比谷線/秋葉原駅 歩5分,築11年,12階建,3階,16.8万円,12000円,33.6万円,16.8万円,1LDK,44.48m2
4149,東京メトロ有楽町線 麹町駅 8階建 築44年,賃貸マンション,東京都千代田区麹町２,東京メトロ有楽町線/麹町駅 歩3分,築44年,8階建,3階,18万円,-,18万円,18万円,2LDK,51.18m2
4152,パレロワイヤル六番町,賃貸マンション,東京都千代田区六番町,ＪＲ中央線/四ツ谷駅 歩4分,築46年,10階建,4階,28万円,30000円,56万円,28万円,2LDK,67.26m2
4155,東京メトロ銀座線 神田駅 10階建 築11年,賃貸マンション,東京都千代田区神田淡路町２,東京メトロ銀座線/神田駅 歩5分,築11年,10階建,10階,18万円,8000円,18万円,18万円,1LDK,40.13m2
4158,ザ・パークハウス千代田麹町,賃貸マンション,東京都千代田区麹町６,東京メトロ丸ノ内線/四ツ谷駅 歩2分,築7年,地下1地上17階建,9階,29万円,-,29万円,29万円,1LDK,52.87m2
4171,パークコート三番町ヒルトップレジデンス,賃貸マンション,東京都千代田区三番町,東京メトロ有楽町線/市ケ谷駅 歩4分,築7年,地下1地上18階建,17階,67万円,-,134万円,67万円,2LDK,95.91m2
4176,東京メトロ銀座線 末広町駅 14階建 築5年,賃貸マンション,東京都千代田区外神田４,東京メトロ銀座線/末広町駅 歩3分,築5年,14階建,3階,18.8万円,10000円,18.8万円,18.8万円,1LDK,42.68m2
4180,ＪＲ総武線快速 馬喰町駅 13階建 築9年,賃貸マンション,東京都千代田区東神田１,ＪＲ総武線快速/馬喰町駅 歩2分,築9年,13階建,6階,19万円,10000円,19万円,19万円,1LDK,40.21m2
4185,飯田橋セントラルプラザ,賃貸マンション,東京都千代田区飯田橋４,ＪＲ中央線/飯田橋駅 歩1分,築40年,地下1地上14階建,6階,23万円,10000円,46万円,23万円,3DK,61.42m2
4186,飯田橋セントラルプラザ,賃貸マンション,東京都千代田区飯田橋４,ＪＲ中央線/飯田橋駅 歩1分,築40年,地下1地上14階建,13階,25万円,10000円,25万円,25万円,3DK,61.42m2
4187,飯田橋セントラルプラザ,賃貸マンション,東京都千代田区飯田橋４,ＪＲ中央線/飯田橋駅 歩1分,築40年,地下1地上14階建,14階,29万円,-,58万円,29万円,2LDK,72.75m2
4194,都営新宿線 岩本町駅 地下1地上15階建 築20年,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,築20年,地下1地上15階建,4階,8.2万円,10000円,8.2万円,8.2万円,1K,22.71m2
4200,チェスターハウス九段下,賃貸マンション,東京都千代田区飯田橋２,ＪＲ中央線/飯田橋駅 歩7分,築20年,9階建,4階,17.5万円,8000円,17.5万円,17.5万円,1LDK,44.57m2
4230,maison chaleur,賃貸マンション,東京都千代田区神田駿河台３,都営新宿線/小川町駅 歩5分,新築,7階建,5階,18.6万円,-,18.6万円,37.2万円,1LDK,44.05m2
4231,maison chaleur,賃貸マンション,東京都千代田区神田駿河台３,都営新宿線/小川町駅 歩5分,新築,7階建,7階,19.1万円,-,19.1万円,38.2万円,1LDK,44.05m2
4232,maison chaleur,賃貸マンション,東京都千代田区神田駿河台３,都営新宿線/小川町駅 歩5分,新築,7階建,5階,19.1万円,-,19.1万円,38.2万円,1LDK,44.02m2
4233,maison chaleur,賃貸マンション,東京都千代田区神田駿河台３,都営新宿線/小川町駅 歩5分,新築,7階建,7階,19.6万円,-,19.6万円,39.2万円,1LDK,44.02m2
4321,サンウッドフラッツ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,11階,16.8万円,-,16.8万円,16.8万円,1DK,30.19m2
4323,サンウッドフラッツ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,8階,16.9万円,12000円,16.9万円,16.9万円,1LDK,30.86m2
4324,サンウッドフラッツ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,9階,17.5万円,10000円,17.5万円,17.5万円,1LDK,30.86m2
4325,サンウッドフラッツ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,5階,18万円,10000円,18万円,18万円,1LDK,34.89m2
4326,サンウッドフラッツ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,12階,18.5万円,10000円,18.5万円,18.5万円,1DK,30.19m2
4327,サンウッドフラッツ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,13階,18.7万円,10000円,18.7万円,18.7万円,1DK,30.19m2
4331,サンウッドフラッツ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,12階,24万円,10000円,48万円,24万円,1LDK,41.54m2
4332,サンウッドフラッツ神田神保町,賃貸マンション,東京都千代田区神田神保町２,東京メトロ半蔵門線/神保町駅 歩2分,新築,地下1地上14階建,13階,24万円,10000円,24万円,24万円,1LDK,41.54m2
4359,ＪＲ中央線 御茶ノ水駅 13階建 築8年,賃貸マンション,東京都千代田区神田猿楽町１,ＪＲ中央線/御茶ノ水駅 歩8分,築8年,13階建,4階,11.7万円,10000円,11.7万円,11.7万円,1DK,24.54m2
4360,ＪＲ中央線 御茶ノ水駅 13階建 築8年,賃貸マンション,東京都千代田区神田猿楽町１,ＪＲ中央線/御茶ノ水駅 歩8分,築8年,13階建,4階,11.9万円,10000円,11.9万円,11.9万円,1DK,24.54m2
4361,ＪＲ中央線 御茶ノ水駅 13階建 築8年,賃貸マンション,東京都千代田区神田猿楽町１,ＪＲ中央線/御茶ノ水駅 歩8分,築8年,13階建,6階,17.5万円,15000円,17.5万円,26.25万円,2DK,40.18m2
4368,都営新宿線 市ケ谷駅 9階建 築9年,賃貸マンション,東京都千代田区九段北４,都営新宿線/市ケ谷駅 歩2分,築9年,9階建,7階,22.5万円,9000円,22.5万円,45万円,1LDK,51.81m2
4386,プラウド千代田淡路町,賃貸マンション,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩2分,築8年,地下1地上13階建,7階,19万円,10000円,-,19万円,1LDK,44.73m2
4389,東神田プレイス,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩5分,新築,12階建,8階,8.6万円,10000円,-,-,ワンルーム,16.46m2
4390,東神田プレイス,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩5分,新築,12階建,10階,20.2万円,10000円,-,-,1LDK,49.16m2
4391,東神田プレイス,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩5分,新築,12階建,10階,20.5万円,10000円,-,-,1LDK,49.16m2
4392,東神田プレイス,賃貸マンション,東京都千代田区東神田２,都営新宿線/岩本町駅 歩5分,新築,12階建,12階,20.6万円,10000円,-,-,1LDK,49.16m2
4401,ＪＲ山手線 秋葉原駅 10階建 築21年,賃貸マンション,東京都千代田区神田須田町２,ＪＲ山手線/秋葉原駅 歩6分,築21年,10階建,7階,9.2万円,6000円,-,9.2万円,1K,23.01m2
4402,ＪＲ山手線 秋葉原駅 10階建 築21年,賃貸マンション,東京都千代田区神田須田町２,ＪＲ山手線/秋葉原駅 歩6分,築21年,10階建,9階,22万円,10000円,22万円,22万円,1LDK,64.16m2
4407,東京メトロ有楽町線 麹町駅 地下1地上3階建 築24年,賃貸一戸建て,東京都千代田区二番町,東京メトロ有楽町線/麹町駅 歩5分,築24年,地下1地上3階建,B1-3階,260万円,-,520万円,260万円,5LDK,414.63m2
4410,東京メトロ半蔵門線 九段下駅 14階建 築13年,賃貸マンション,東京都千代田区神田神保町３,東京メトロ半蔵門線/九段下駅 歩3分,築13年,14階建,3階,9.4万円,18000円,-,9.4万円,1K,22.24m2
4413,東京メトロ丸ノ内線 大手町駅 地下1地上13階建 築5年,賃貸マンション,東京都千代田区内神田１,東京メトロ丸ノ内線/大手町駅 歩5分,築5年,地下1地上13階建,13階,31万円,20000円,31万円,31万円,1LDK,53.27m2
4420,ルネ神田和泉町,賃貸マンション,東京都千代田区神田和泉町,ＪＲ山手線/秋葉原駅 歩5分,築11年,12階建,11階,18.8万円,-,37.6万円,18.8万円,1LDK,43.76m2
4425,カスタリア新御茶ノ水,賃貸マンション,東京都千代田区神田淡路町２,東京メトロ丸ノ内線/淡路町駅 歩2分,築20年,10階建,4階,14.6万円,10000円,14.6万円,14.6万円,1DK,35.4m2
4426,カスタリア新御茶ノ水,賃貸マンション,東京都千代田区神田淡路町２,東京メトロ丸ノ内線/淡路町駅 歩2分,築20年,10階建,8階,15.8万円,10000円,15.8万円,15.8万円,1LDK,37.66m2
4449,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,6階,11.6万円,20000円,11.6万円,-,ワンルーム,25.71m2
4450,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,7階,11.7万円,20000円,11.7万円,-,ワンルーム,25.71m2
4451,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,8階,11.8万円,20000円,11.8万円,-,ワンルーム,25.71m2
4452,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,9階,11.9万円,20000円,11.9万円,-,ワンルーム,25.71m2
4453,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,10階,12万円,20000円,12万円,-,ワンルーム,25.71m2
4454,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,2階,18.1万円,20000円,18.1万円,-,1LDK,37.75m2
4455,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,6階,18.5万円,20000円,18.5万円,-,1LDK,37.75m2
4456,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,7階,18.6万円,20000円,18.6万円,-,1LDK,37.75m2
4457,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,8階,18.7万円,20000円,18.7万円,-,1LDK,37.75m2
4458,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,9階,18.8万円,20000円,18.8万円,-,1LDK,37.75m2
4459,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,4階,19.1万円,20000円,19.1万円,-,1LDK,40.45m2
4460,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,5階,19.2万円,20000円,19.2万円,-,1LDK,40.45m2
4461,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,6階,19.3万円,20000円,19.3万円,-,1LDK,40.45m2
4462,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,8階,19.5万円,20000円,19.5万円,-,1LDK,40.45m2
4463,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,11階,19.8万円,20000円,19.8万円,-,1LDK,40.11m2
4464,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,12階,20万円,20000円,20万円,-,1LDK,40.11m2
4465,フォーサイト神田多町,賃貸マンション,東京都千代田区神田多町２,東京メトロ丸ノ内線/淡路町駅 歩2分,新築,12階建,11階,20.5万円,20000円,20.5万円,-,1LDK,40.48m2
4500,リヴシティ神田,賃貸マンション,東京都千代田区神田富山町,都営新宿線/岩本町駅 歩4分,築13年,13階建,9階,10.5万円,10500円,-,10.5万円,1K,22.72m2
4503,カームステージ内神田,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩4分,築3年,10階建,5階,12.6万円,8000円,12.6万円,12.6万円,1K,30.18m2
4506,ＪＲ山手線 神田駅 10階建 築3年,賃貸マンション,東京都千代田区内神田２,ＪＲ山手線/神田駅 歩4分,築3年,10階建,5階,12.6万円,8000円,12.6万円,12.6万円,1K,30.17m2
