,名称,カテゴリ,住所,最寄り駅,築年数,構造,階数,賃料,管理費,敷金,礼金,間取り,専有面積
1369,KOUSOU秋葉原,賃貸マンション,東京都千代田区外神田３,ＪＲ山手線/秋葉原駅 歩8分,新築,地下1地上5階建,5階,12万円,10000円,12万円,-,ワンルーム,23.33m2
1370,KOUSOU秋葉原,賃貸マンション,東京都千代田区外神田３,ＪＲ山手線/秋葉原駅 歩8分,新築,地下1地上5階建,4階,18.5万円,10000円,18.5万円,-,2DK,40.37m2
1389,シルヴァー　アウル,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,築7年,9階建,3階,15万円,10000円,15万円,15万円,1LDK,42.04m2
1390,シルヴァー　アウル,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,築7年,9階建,5階,15.6万円,10000円,15.6万円,15.6万円,1LDK,42.04m2
1396,都営新宿線 岩本町駅 9階建 築7年,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩4分,築7年,9階建,7階,16.4万円,10000円,16.4万円,16.4万円,1LDK,47.17m2
1401,ＪＲ中央線 水道橋駅 14階建 築20年,賃貸マンション,東京都千代田区神田三崎町３,ＪＲ中央線/水道橋駅 歩5分,築20年,14階建,4階,30万円,15000円,30万円,60万円,2LDK,57.96m2
1407,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,4階,10.5万円,15000円,-,-,1K,23.85m2
1408,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,6階,10.7万円,15000円,-,-,1K,23.85m2
1409,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,8階,10.9万円,15000円,-,-,1K,23.85m2
1411,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,6階,11万円,15000円,-,-,1K,23.85m2
1412,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,9階,11万円,15000円,-,-,1K,23.85m2
1413,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,7階,11.1万円,15000円,-,-,1K,23.85m2
1414,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,10階,11.1万円,15000円,-,-,1K,23.85m2
1416,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,8階,11.2万円,15000円,-,-,1K,23.85m2
1417,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,12階,11.3万円,15000円,-,-,1K,23.85m2
1418,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,11階,11.5万円,15000円,-,-,1K,23.85m2
1419,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,12階,11.6万円,15000円,-,-,1K,23.85m2
1420,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,9階,12.6万円,15000円,-,-,1K,26.82m2
1421,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,10階,12.7万円,15000円,-,-,1K,26.82m2
1422,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,3階,13万円,15000円,-,-,1K,29.29m2
1423,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,4階,13.1万円,15000円,-,-,1K,29.21m2
1424,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,6階,13.3万円,15000円,-,-,1K,29.29m2
1425,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,10階,13.5万円,15000円,-,-,1K,29.21m2
1426,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,10階,13.7万円,15000円,-,-,1K,29.21m2
1427,スペーシア秋葉原,賃貸マンション,東京都千代田区外神田４,ＪＲ山手線/秋葉原駅 歩5分,築18年,地下1地上15階建,13階,27.5万円,15000円,-,-,2LDK,51.74m2
1470,パークウェル御茶ノ水,賃貸マンション,東京都千代田区神田須田町１,東京メトロ丸ノ内線/淡路町駅 歩2分,築20年,8階建,6階,9万円,10000円,9万円,4.5万円,1K,22.42m2
1476,ＪＲ山手線 神田駅 14階建 築9年,賃貸マンション,東京都千代田区内神田１,ＪＲ山手線/神田駅 歩7分,築9年,14階建,7階,24万円,15000円,24万円,24万円,1LDK,48.12m2
1477,ＪＲ山手線 神田駅 14階建 築9年,賃貸マンション,東京都千代田区内神田１,ＪＲ山手線/神田駅 歩7分,築9年,14階建,13階,24万円,20000円,24万円,24万円,1SLDK,48.23m2
1482,東京メトロ半蔵門線 半蔵門駅 13階建 築8年,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩5分,築8年,13階建,2階,21.6万円,10500円,-,21.6万円,1LDK,33.95m2
1484,東京メトロ半蔵門線 半蔵門駅 13階建 築8年,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩5分,築8年,13階建,8階,27.3万円,10000円,27.3万円,-,1SLDK,54.15m2
1485,東京メトロ半蔵門線 半蔵門駅 13階建 築8年,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩5分,築8年,13階建,11階,27.3万円,10000円,27.3万円,-,1SLDK,54.15m2
1486,東京メトロ半蔵門線 半蔵門駅 13階建 築8年,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩5分,築8年,13階建,11階,28万円,10000円,28万円,28万円,2LDK,54.15m2
1487,東京メトロ半蔵門線 半蔵門駅 13階建 築8年,賃貸マンション,東京都千代田区隼町,東京メトロ半蔵門線/半蔵門駅 歩5分,築8年,13階建,2階,31.3万円,10500円,-,31.3万円,1LDK,54.15m2
1506,レジディア神田岩本町II,賃貸マンション,東京都千代田区岩本町２,都営新宿線/岩本町駅 歩2分,築17年,13階建,11階,15.5万円,10000円,15.5万円,15.5万円,2K,37.26m2
1511,都営新宿線 九段下駅 地下1地上12階建 築26年,賃貸マンション,東京都千代田区神田神保町３,都営新宿線/九段下駅 歩3分,築26年,地下1地上12階建,9階,22.5万円,15000円,22.5万円,22.5万円,2LDK,55.97m2
1518,グレイスコート岩本町,賃貸マンション,東京都千代田区岩本町１,ＪＲ総武線快速/馬喰町駅 歩4分,築3年,11階建,8階,14.2万円,10000円,-,-,ワンルーム,30.01m2
